iter	RMSE
0	1.09318743
1	1.090847955
2	1.088668092
3	1.086667132
4	1.084673178
5	1.082968109
6	1.081204345
7	1.079534041
8	1.07798226
9	1.076479064
10	1.075082292
11	1.073772761
12	1.072530441
13	1.071395801
14	1.070286931
15	1.069244322
16	1.068290405
17	1.067351962
18	1.066444971
19	1.065594987
20	1.06480683
21	1.064035682
22	1.063323557
23	1.062651163
24	1.061995705
25	1.061354834
26	1.060771083
27	1.060205962
28	1.0596788
29	1.05919507
30	1.058719138
31	1.058257325
32	1.057813008
33	1.057385592
34	1.056965716
35	1.056612314
36	1.056243046
37	1.05589055
38	1.055550021
39	1.055233281
40	1.054927312
41	1.05465554
42	1.054369385
43	1.054100993
44	1.053840355
45	1.053601001
46	1.053357782
47	1.053131179
48	1.0529106
49	1.052695456
50	1.05249908
51	1.052311456
52	1.052140129
53	1.051975434
54	1.051797625
55	1.051636235
56	1.051506875
57	1.051345821
58	1.051190774
59	1.051046562
60	1.050927132
61	1.05082768
62	1.050702637
63	1.050588541
64	1.050485796
65	1.050372935
66	1.050274493
67	1.050172631
68	1.050092084
69	1.050016472
70	1.049938553
71	1.049843169
72	1.049760421
73	1.049678219
74	1.049581751
75	1.049501577
76	1.049430049
77	1.049358148
78	1.049289369
79	1.049216904
80	1.049149822
81	1.049077707
82	1.049013935
83	1.048963866
84	1.048923034
85	1.048869665
86	1.04881648
87	1.048769944
88	1.048719925
89	1.048686269
90	1.048645057
91	1.048601225
92	1.048555122
93	1.048515916
94	1.048481819
95	1.048442855
96	1.048405849
97	1.048369556
98	1.048341386
99	1.048307757
100	1.048274411
101	1.04825191
102	1.048230153
103	1.048192631
104	1.048150668
105	1.04812361
106	1.048104486
107	1.048087634
108	1.048060314
109	1.048039235
110	1.048016504
111	1.048000308
112	1.047984136
113	1.047960279
114	1.047932813
115	1.047895711
116	1.047880099
117	1.047853112
118	1.047835977
119	1.04780917
120	1.047795766
121	1.047776495
122	1.047760865
123	1.047744962
124	1.047718113
125	1.047688537
126	1.047663909
127	1.047642008
128	1.047634436
129	1.04762323
130	1.047603858
131	1.04759177
132	1.047575358
133	1.047538758
134	1.047537271
135	1.047516879
136	1.047494713
137	1.047475059
138	1.047460703
139	1.047459596
140	1.047444058
141	1.047429905
142	1.047413483
143	1.04739161
144	1.047378736
145	1.047359503
146	1.047339197
147	1.047314947
148	1.047299664
149	1.047284086
150	1.047271413
151	1.04726349
152	1.047248132
153	1.047209041
154	1.047207494
155	1.047188932
156	1.047178288
157	1.047162748
158	1.047145487
159	1.04712206
160	1.047106391
161	1.047092303
162	1.047087704
163	1.047072482
164	1.047071287
165	1.047050151
166	1.047049289
167	1.047042093
168	1.047027382
169	1.047018535
170	1.047003313
171	1.046994029
172	1.046980662
173	1.046969719
174	1.046955561
175	1.046940879
176	1.046924601
177	1.046912255
178	1.046885832
179	1.046876203
180	1.046864613
181	1.046846733
182	1.04683372
183	1.046826402
184	1.046819159
185	1.046815273
186	1.046808088
187	1.046804576
188	1.046792973
189	1.046776953
190	1.046776328
191	1.046762603
192	1.046753637
193	1.046753403
194	1.046751613
195	1.046734715
196	1.046708535
197	1.04670533
198	1.046698453
199	1.046697808
200	1.046693312
201	1.046687055
202	1.046683584
203	1.046678922
204	1.046658761
205	1.046655668
206	1.046642699
207	1.046634744
208	1.046620812
209	1.046611203
210	1.046593775
211	1.046569914
212	1.046554636
213	1.046554384
214	1.046549347
215	1.046549237
216	1.046545892
217	1.046539743
218	1.046533572
219	1.046522496
220	1.046516219
221	1.046504521
222	1.046503309
223	1.0465033
224	1.046503223
225	1.046498088
226	1.046488518
227	1.046488463
228	1.046472114
229	1.046469228
230	1.046467006
231	1.046462897
232	1.046456368
233	1.046454849
234	1.046436329
235	1.046434932
236	1.046429304
237	1.046429303
238	1.046429182
239	1.046428958
240	1.046428911
241	1.046421627
242	1.04641438
243	1.046396103
244	1.046395141
245	1.046394786
246	1.046394356
247	1.046394322
248	1.046382933
249	1.046379635
250	1.04637683
251	1.046376144
252	1.046373432
253	1.046373431
254	1.046372768
255	1.046362866
256	1.046360812
257	1.046357319
258	1.046356712
259	1.046350424
260	1.046350405
261	1.046345852
262	1.046345766
263	1.046345587
264	1.046345586
265	1.046344013
266	1.046343947
267	1.046343413
268	1.046334256
269	1.046330913
270	1.04632535
271	1.04632513
272	1.046322224
273	1.046320793
274	1.046300179
275	1.046299456
276	1.046295756
277	1.046295583
278	1.046293434
279	1.046288475
280	1.046284275
281	1.046281904
282	1.04628162
283	1.046281222
284	1.046281218
285	1.046281217
286	1.046279775
287	1.04627704
288	1.046277039
289	1.046276942
290	1.046274455
291	1.046259975
292	1.046254801
293	1.046254801
294	1.046249752
295	1.046249631
296	1.046244457
297	1.046226839
298	1.046225735
299	1.046223069
300	1.046211454
301	1.046211374
302	1.046210847
303	1.046210847
304	1.046209977
305	1.046195967
306	1.046195919
307	1.046195917
308	1.04616723
309	1.046158419
310	1.046158415
311	1.046158412
312	1.046157497
313	1.046156681
314	1.046150543
315	1.046147346
316	1.046146773
317	1.046146769
318	1.046146766
319	1.046141309
320	1.046140374
321	1.046140326
322	1.04614023
323	1.046139389
324	1.046138023
325	1.046136858
326	1.046136278
327	1.046135642
328	1.046131711
329	1.046127846
330	1.046123049
331	1.046122969
332	1.046110565
333	1.046110153
334	1.046083635
335	1.046083635
336	1.046071372
337	1.046071372
338	1.046071369
339	1.046069932
340	1.046061258
341	1.046056214
342	1.046051518
343	1.046043836
344	1.046035596
345	1.046028256
346	1.046025813
347	1.04602353
348	1.046023369
349	1.046022178
350	1.046016907
351	1.045999063
352	1.045990564
353	1.045990256
354	1.045989992
355	1.045988992
356	1.045983966
