iter	Passed	Remaining
0	1727	3107576
1	3136	2819817
2	4611	2762052
3	5942	2668399
4	7174	2575807
5	8442	2524361
6	9724	2490988
7	10961	2455444
8	12188	2425518
9	13449	2407474
10	14680	2387536
11	15827	2358282
12	16940	2328721
13	18072	2305503
14	19410	2309799
15	20913	2331839
16	22312	2340221
17	23544	2330914
18	24722	2317386
19	25891	2304370
20	27065	2292821
21	28224	2281025
22	29333	2266316
23	30426	2251530
24	31604	2243941
25	32772	2236061
26	33928	2227939
27	35110	2221992
28	36252	2213908
29	37458	2210022
30	38574	2201260
31	39696	2193248
32	40832	2186396
33	41909	2176824
34	43021	2169505
35	44200	2165820
36	45366	2161650
37	46509	2156556
38	47688	2153338
39	48803	2147346
40	49962	2143515
41	51086	2138331
42	52209	2133303
43	53383	2130499
44	54521	2126325
45	55673	2122872
46	56775	2117594
47	57862	2111965
48	59025	2109272
49	60156	2105493
50	61286	2101780
51	62462	2099691
52	63617	2096964
53	64735	2093101
54	65921	2091503
55	67290	2095620
56	68586	2097294
57	69963	2101310
58	71228	2101847
59	72577	2104749
60	74001	2109645
61	75287	2110474
62	76561	2110922
63	77801	2110354
64	78960	2107627
65	80158	2105986
66	81308	2103092
67	82458	2100266
68	83533	2095606
69	84670	2092564
70	85870	2091127
71	87030	2088739
72	88194	2086474
73	89350	2084042
74	90535	2082326
75	91721	2080627
76	92820	2077006
77	94011	2075478
78	95124	2072260
79	96296	2070377
80	97387	2066787
81	98556	2064888
82	99725	2063001
83	100914	2061547
84	102054	2059101
85	103224	2057287
86	104489	2057370
87	105679	2055942
88	106919	2055505
89	108146	2054781
90	109302	2052729
91	110493	2051339
92	111619	2048765
93	112780	2046852
94	113896	2044134
95	115070	2042495
96	116219	2040438
97	117368	2038381
98	118548	2036872
99	119711	2035093
100	120876	2033356
101	122035	2031523
102	123033	2027059
103	124152	2024648
104	125332	2023221
105	126542	2022294
106	127532	2017870
107	128711	2016486
108	129910	2015398
109	131020	2012950
110	132157	2010934
111	133281	2008739
112	134521	2008305
113	135843	2009051
114	137153	2009593
115	138346	2008406
116	139531	2007113
117	140568	2003700
118	141532	1999299
119	142682	1997552
120	143854	1996124
121	145027	1994725
